# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
1.46000000e+04 1.80222273e+01 1.52877584e+01 1.25909900e+01 1.03975629e+01 8.76974763e+00 
1.47000000e+04 1.79660517e+01 1.52141108e+01 1.25162694e+01 1.03311126e+01 8.71395289e+00 
1.48000000e+04 1.79099061e+01 1.51409378e+01 1.24423374e+01 1.02655452e+01 8.65899030e+00 
1.49000000e+04 1.78537990e+01 1.50682411e+01 1.23691863e+01 1.02008467e+01 8.60484364e+00 
1.50000000e+04 1.77977387e+01 1.49960226e+01 1.22968087e+01 1.01370034e+01 8.55149705e+00 
1.51000000e+04 1.77417330e+01 1.49242835e+01 1.22251967e+01 1.00740017e+01 8.49893503e+00 
1.52000000e+04 1.76857895e+01 1.48530249e+01 1.21543428e+01 1.00118281e+01 8.44714240e+00 
1.53000000e+04 1.76299157e+01 1.47822478e+01 1.20842392e+01 9.95046953e+00 8.39610432e+00 
1.54000000e+04 1.75741186e+01 1.47119527e+01 1.20148782e+01 9.88991285e+00 8.34580626e+00 
1.55000000e+04 1.75184050e+01 1.46421401e+01 1.19462519e+01 9.83014529e+00 8.29623402e+00 
1.56000000e+04 1.74627814e+01 1.45728102e+01 1.18783526e+01 9.77115425e+00 8.24737371e+00 
1.57000000e+04 1.74072543e+01 1.45039628e+01 1.18111725e+01 9.71292730e+00 8.19921173e+00 
1.58000000e+04 1.73518296e+01 1.44355978e+01 1.17447038e+01 9.65545220e+00 8.15173478e+00 
1.59000000e+04 1.72965132e+01 1.43677148e+01 1.16789388e+01 9.59871693e+00 8.10492987e+00 
1.60000000e+04 1.72413108e+01 1.43003133e+01 1.16138697e+01 9.54270964e+00 8.05878427e+00 
1.61000000e+04 1.71862276e+01 1.42333924e+01 1.15494887e+01 9.48741868e+00 8.01328554e+00 
1.62000000e+04 1.71312689e+01 1.41669513e+01 1.14857882e+01 9.43283257e+00 7.96842150e+00 
1.63000000e+04 1.70764397e+01 1.41009889e+01 1.14227605e+01 9.37894005e+00 7.92418025e+00 
1.64000000e+04 1.70217447e+01 1.40355040e+01 1.13603979e+01 9.32573002e+00 7.88055014e+00 
1.65000000e+04 1.69671885e+01 1.39704954e+01 1.12986928e+01 9.27319158e+00 7.83751978e+00 
1.66000000e+04 1.69127754e+01 1.39059616e+01 1.12376377e+01 9.22131398e+00 7.79507802e+00 
1.67000000e+04 1.68585098e+01 1.38419010e+01 1.11772251e+01 9.17008670e+00 7.75321396e+00 
1.68000000e+04 1.68043956e+01 1.37783119e+01 1.11174473e+01 9.11949934e+00 7.71191692e+00 
1.69000000e+04 1.67504366e+01 1.37151925e+01 1.10582971e+01 9.06954173e+00 7.67117647e+00 
1.70000000e+04 1.66966366e+01 1.36525410e+01 1.09997670e+01 9.02020382e+00 7.63098241e+00 
1.71000000e+04 1.66429991e+01 1.35903554e+01 1.09418498e+01 8.97147578e+00 7.59132473e+00 
1.72000000e+04 1.65895274e+01 1.35286336e+01 1.08845381e+01 8.92334792e+00 7.55219367e+00 
1.73000000e+04 1.65362248e+01 1.34673735e+01 1.08278247e+01 8.87581071e+00 7.51357966e+00 
1.74000000e+04 1.64830943e+01 1.34065728e+01 1.07717025e+01 8.82885481e+00 7.47547335e+00 
1.75000000e+04 1.64301388e+01 1.33462293e+01 1.07161644e+01 8.78247102e+00 7.43786556e+00 
1.76000000e+04 1.63773612e+01 1.32863405e+01 1.06612034e+01 8.73665031e+00 7.40074735e+00 
1.77000000e+04 1.63247640e+01 1.32269040e+01 1.06068125e+01 8.69138380e+00 7.36410994e+00 
1.78000000e+04 1.62723498e+01 1.31679174e+01 1.05529848e+01 8.64666276e+00 7.32794475e+00 
1.79000000e+04 1.62201210e+01 1.31093781e+01 1.04997135e+01 8.60247863e+00 7.29224338e+00 
1.80000000e+04 1.61680798e+01 1.30512835e+01 1.04469918e+01 8.55882298e+00 7.25699760e+00 
1.81000000e+04 1.61162284e+01 1.29936309e+01 1.03948130e+01 8.51568753e+00 7.22219937e+00 
1.82000000e+04 1.60645689e+01 1.29364177e+01 1.03431705e+01 8.47306417e+00 7.18784082e+00 
1.83000000e+04 1.60131032e+01 1.28796411e+01 1.02920578e+01 8.43094489e+00 7.15391422e+00 
1.84000000e+04 1.59618331e+01 1.28232984e+01 1.02414682e+01 8.38932186e+00 7.12041204e+00 
1.85000000e+04 1.59107602e+01 1.27673867e+01 1.01913955e+01 8.34818736e+00 7.08732687e+00 
1.86000000e+04 1.58598863e+01 1.27119032e+01 1.01418332e+01 8.30753381e+00 7.05465149e+00 
1.87000000e+04 1.58092129e+01 1.26568451e+01 1.00927752e+01 8.26735378e+00 7.02237882e+00 
1.88000000e+04 1.57587413e+01 1.26022094e+01 1.00442151e+01 8.22763995e+00 6.99050190e+00 
1.89000000e+04 1.57084729e+01 1.25479933e+01 9.99614679e+00 8.18838515e+00 6.95901396e+00 
1.90000000e+04 1.56584090e+01 1.24941938e+01 9.94856429e+00 8.14958231e+00 6.92790835e+00 
1.91000000e+04 1.56085507e+01 1.24408079e+01 9.90146154e+00 8.11122450e+00 6.89717854e+00 
1.92000000e+04 1.55588991e+01 1.23878327e+01 9.85483263e+00 8.07330492e+00 6.86681815e+00 
1.93000000e+04 1.55094552e+01 1.23352652e+01 9.80867170e+00 8.03581687e+00 6.83682095e+00 
1.94000000e+04 1.54602199e+01 1.22831025e+01 9.76297295e+00 7.99875378e+00 6.80718081e+00 
1.95000000e+04 1.54111941e+01 1.22313414e+01 9.71773067e+00 7.96210919e+00 6.77789173e+00 
1.96000000e+04 1.53623786e+01 1.21799790e+01 9.67293921e+00 7.92587676e+00 6.74894785e+00 
1.97000000e+04 1.53137740e+01 1.21290122e+01 9.62859299e+00 7.89005026e+00 6.72034341e+00 
