# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
1.21000000e+04 8.47706902e+00 1.15640213e+01 1.40170619e+01 1.56957585e+01 1.66232893e+01 
1.22000000e+04 8.55334447e+00 1.16445849e+01 1.40856622e+01 1.57408469e+01 1.66393424e+01 
1.23000000e+04 8.62909575e+00 1.17240926e+01 1.41527374e+01 1.57841448e+01 1.66535954e+01 
1.24000000e+04 8.70431851e+00 1.18025463e+01 1.42183018e+01 1.58256810e+01 1.66660901e+01 
1.25000000e+04 8.77900867e+00 1.18799486e+01 1.42823697e+01 1.58654843e+01 1.66768676e+01 
1.26000000e+04 8.85316239e+00 1.19563022e+01 1.43449559e+01 1.59035833e+01 1.66859685e+01 
1.27000000e+04 8.92677608e+00 1.20316102e+01 1.44060753e+01 1.59400066e+01 1.66934328e+01 
1.28000000e+04 8.99984640e+00 1.21058760e+01 1.44657429e+01 1.59747826e+01 1.66992999e+01 
1.29000000e+04 9.07237022e+00 1.21791032e+01 1.45239741e+01 1.60079395e+01 1.67036087e+01 
1.30000000e+04 9.14434468e+00 1.22512957e+01 1.45807841e+01 1.60395054e+01 1.67063974e+01 
1.31000000e+04 9.21576711e+00 1.23224578e+01 1.46361886e+01 1.60695080e+01 1.67077036e+01 
1.32000000e+04 9.28663508e+00 1.23925938e+01 1.46902031e+01 1.60979752e+01 1.67075643e+01 
1.33000000e+04 9.35694634e+00 1.24617084e+01 1.47428433e+01 1.61249343e+01 1.67060159e+01 
1.34000000e+04 9.42669889e+00 1.25298065e+01 1.47941250e+01 1.61504127e+01 1.67030941e+01 
1.35000000e+04 9.49589089e+00 1.25968933e+01 1.48440640e+01 1.61744372e+01 1.66988341e+01 
1.36000000e+04 9.56452071e+00 1.26629740e+01 1.48926764e+01 1.61970346e+01 1.66932705e+01 
1.37000000e+04 9.63258691e+00 1.27280542e+01 1.49399781e+01 1.62182315e+01 1.66864372e+01 
1.38000000e+04 9.70008823e+00 1.27921394e+01 1.49859849e+01 1.62380540e+01 1.66783676e+01 
1.39000000e+04 9.76702358e+00 1.28552356e+01 1.50307130e+01 1.62565282e+01 1.66690943e+01 
1.40000000e+04 9.83339207e+00 1.29173488e+01 1.50741784e+01 1.62736798e+01 1.66586495e+01 
1.41000000e+04 9.89919293e+00 1.29784851e+01 1.51163970e+01 1.62895340e+01 1.66470647e+01 
1.42000000e+04 9.96442561e+00 1.30386509e+01 1.51573849e+01 1.63041162e+01 1.66343708e+01 
1.43000000e+04 1.00290897e+01 1.30978525e+01 1.51971581e+01 1.63174511e+01 1.66205982e+01 
1.44000000e+04 1.00931848e+01 1.31560967e+01 1.52357324e+01 1.63295633e+01 1.66057766e+01 
1.45000000e+04 1.01567110e+01 1.32133901e+01 1.52731239e+01 1.63404769e+01 1.65899350e+01 
1.46000000e+04 1.02196681e+01 1.32697395e+01 1.53093483e+01 1.63502160e+01 1.65731023e+01 
1.47000000e+04 1.02820564e+01 1.33251518e+01 1.53444214e+01 1.63588042e+01 1.65553062e+01 
1.48000000e+04 1.03438762e+01 1.33796341e+01 1.53783591e+01 1.63662647e+01 1.65365743e+01 
1.49000000e+04 1.04051279e+01 1.34331934e+01 1.54111770e+01 1.63726207e+01 1.65169335e+01 
