#Idx,EeV,g,rIn,v,J,ECB,Group
3482,-4.677511e-01,1.145000e+02,1.985112e+00,16,114,9.892578e-01,33
3483,-4.674915e-01,1.535000e+02,2.208829e+00,5,153,1.535882e+00,30
3484,-4.667632e-01,1.405000e+02,2.108968e+00,9,140,1.329039e+00,31
3485,-4.653644e-01,1.225000e+02,2.016375e+00,14,122,1.082051e+00,32
3486,-4.651217e-01,6.350000e+01,1.860522e+00,26,63,5.608122e-01,36
3487,-4.641271e-01,2.450000e+01,1.821122e+00,30,24,4.672648e-01,37
3488,-4.635067e-01,1.105000e+02,1.970742e+00,17,110,9.405068e-01,33
3489,-4.616384e-01,1.685000e+02,2.453133e+00,0,168,1.800144e+00,29
3490,-4.612388e-01,5.650000e+01,1.850416e+00,27,56,5.207071e-01,36
3491,-4.611552e-01,1.505000e+02,2.180931e+00,6,150,1.479744e+00,30
3492,-4.600985e-01,3.850000e+01,1.830769e+00,29,38,4.722804e-01,37
3493,-4.594887e-01,9.250000e+01,1.917795e+00,21,92,7.605712e-01,35
3494,-4.592642e-01,7.650000e+01,1.882535e+00,24,76,6.356864e-01,35
3495,-4.586297e-01,2.550000e+01,1.821457e+00,30,25,4.621676e-01,37
3496,-4.584920e-01,8.750000e+01,1.905699e+00,22,87,7.175161e-01,35
3497,-4.584899e-01,1.265000e+02,2.033417e+00,13,126,1.125923e+00,32
3498,-4.584859e-01,7.050000e+01,1.871571e+00,25,70,5.954287e-01,36
3499,-4.584360e-01,4.850000e+01,1.840570e+00,28,48,4.828367e-01,37
3500,-4.558142e-01,1.065000e+02,1.957134e+00,18,106,8.903159e-01,34
3501,-4.549952e-01,9.750000e+01,1.930628e+00,20,97,8.010413e-01,34
3502,-4.529186e-01,2.650000e+01,1.821807e+00,30,26,4.568893e-01,37
3503,-4.525290e-01,1.475000e+02,2.155675e+00,7,147,1.422674e+00,31
3504,-4.522205e-01,8.250000e+01,1.894308e+00,23,82,6.720302e-01,35
3505,-4.513938e-01,3.950000e+01,1.831294e+00,29,39,4.645508e-01,37
3506,-4.507516e-01,1.375000e+02,2.089233e+00,10,137,1.268967e+00,31
3507,-4.502188e-01,6.450000e+01,1.861392e+00,26,64,5.514910e-01,36
3508,-4.481451e-01,5.750000e+01,1.851188e+00,27,57,5.124858e-01,37
3509,-4.476787e-01,1.305000e+02,2.051523e+00,12,130,1.168012e+00,32
3510,-4.473399e-01,4.950000e+01,1.841232e+00,28,49,4.732927e-01,37
