#Idx,EeV,g,rIn,v,J,ECB,Group
4030,-1.508671e-01,1.455000e+02,2.107345e+00,10,145,1.089460e+00,32
4031,-1.497116e-01,1.695000e+02,2.340855e+00,2,169,1.507518e+00,30
4032,-1.496274e-01,8.250000e+01,1.879808e+00,26,82,3.694371e-01,38
4033,-1.495213e-01,2.450000e+01,1.809126e+00,34,24,1.526590e-01,42
4034,-1.488539e-01,8.750000e+01,1.890322e+00,25,87,4.078780e-01,37
4035,-1.488414e-01,1.175000e+02,1.975089e+00,18,117,7.050671e-01,35
4036,-1.481318e-01,1.055000e+02,1.936137e+00,21,105,5.723186e-01,36
4037,-1.469065e-01,3.650000e+01,1.816850e+00,33,36,1.572855e-01,42
4038,-1.461723e-01,7.750000e+01,1.869936e+00,27,77,3.295516e-01,39
4039,-1.460964e-01,4.550000e+01,1.824830e+00,32,45,1.662242e-01,42
4040,-1.450430e-01,2.550000e+01,1.809489e+00,34,25,1.485809e-01,42
4041,-1.435355e-01,9.250000e+01,1.901497e+00,24,92,4.446180e-01,37
4042,-1.433952e-01,5.000000e-01,1.802579e+00,35,0,1.433952e-01,43
4043,-1.432253e-01,1.500000e+00,1.802594e+00,35,1,1.432260e-01,43
4044,-1.428857e-01,2.500000e+00,1.802624e+00,35,2,1.428890e-01,43
4045,-1.427004e-01,1.215000e+02,1.989500e+00,17,121,7.470323e-01,35
4046,-1.423764e-01,3.500000e+00,1.802668e+00,35,3,1.423856e-01,43
4047,-1.421345e-01,5.350000e+01,1.833416e+00,31,53,1.875812e-01,41
4048,-1.420644e-01,1.015000e+02,1.924449e+00,22,101,5.262149e-01,36
4049,-1.420560e-01,6.650000e+01,1.851100e+00,29,66,2.548012e-01,40
4050,-1.416978e-01,4.500000e+00,1.802727e+00,35,4,1.417172e-01,43
4051,-1.415305e-01,1.425000e+02,2.088296e+00,11,142,1.033898e+00,33
4052,-1.408500e-01,5.500000e+00,1.802801e+00,35,5,1.408854e-01,43
4053,-1.403988e-01,2.650000e+01,1.809869e+00,34,26,1.443695e-01,42
4054,-1.400158e-01,3.750000e+01,1.817385e+00,33,37,1.512721e-01,42
4055,-1.398334e-01,6.500000e+00,1.802889e+00,35,6,1.398920e-01,43
4056,-1.393690e-01,6.050000e+01,1.842270e+00,30,60,2.189287e-01,41
4057,-1.388532e-01,7.250000e+01,1.860689e+00,28,72,2.885278e-01,39
4058,-1.387450e-01,1.725000e+02,2.396042e+00,1,172,1.555460e+00,30
4059,-1.386485e-01,7.500000e+00,1.802993e+00,35,7,1.387385e-01,43
4060,-1.372959e-01,8.500000e+00,1.803111e+00,35,8,1.374269e-01,43
4061,-1.372333e-01,4.650000e+01,1.825492e+00,32,46,1.587233e-01,42
4062,-1.369395e-01,1.325000e+02,2.035709e+00,14,132,8.845442e-01,34
4063,-1.357760e-01,9.500000e+00,1.803244e+00,35,9,1.359589e-01,43
4064,-1.355904e-01,2.750000e+01,1.810263e+00,34,27,1.400279e-01,43
4065,-1.340896e-01,1.050000e+01,1.803392e+00,35,10,1.343366e-01,43
4066,-1.333957e-01,9.750000e+01,1.913356e+00,23,97,4.794418e-01,37
4067,-1.331308e-01,1.255000e+02,2.004708e+00,16,125,7.876763e-01,34
4068,-1.329637e-01,3.850000e+01,1.817935e+00,33,38,1.451456e-01,42
4069,-1.322375e-01,1.150000e+01,1.803555e+00,35,11,1.325620e-01,43
4070,-1.314305e-01,5.450000e+01,1.834190e+00,31,54,1.814522e-01,42
4071,-1.312746e-01,8.350000e+01,1.880994e+00,26,83,3.587025e-01,38
4072,-1.306198e-01,2.850000e+01,1.810672e+00,34,28,1.355593e-01,43
4073,-1.304046e-01,1.395000e+02,2.070434e+00,12,139,9.778509e-01,33
4074,-1.302205e-01,1.250000e+01,1.803733e+00,35,12,1.306372e-01,43
4075,-1.292357e-01,7.850000e+01,1.871049e+00,27,78,3.196813e-01,39
4076,-1.290825e-01,8.850000e+01,1.891582e+00,25,88,3.962889e-01,38
4077,-1.282111e-01,4.750000e+01,1.826169e+00,32,47,1.511248e-01,42
4078,-1.280960e-01,6.750000e+01,1.852056e+00,29,67,2.467336e-01,40
4079,-1.280396e-01,1.350000e+01,1.803926e+00,35,13,1.285644e-01,43
