#--------------------------#
# x [m]  X_O  X_O2  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.201767517311E-11  0.181984112375E-07  0.999999981802E+00  0.712498102799E+03  0.145344814019E+05  0.540151758920E-02  0.203993266467E+05  0.101655998149E+24  0.182731307142E+08  0.327895425959E+00
  0.204785192484E-11  0.184705901552E-07  0.999999981529E+00  0.712498102805E+03  0.145344814000E+05  0.540151758916E-02  0.203993266466E+05  0.101655998162E+24  0.182731307142E+08  0.327895425956E+00
  0.207833044409E-11  0.187454908621E-07  0.999999981255E+00  0.712498102811E+03  0.145344813981E+05  0.540151758911E-02  0.203993266466E+05  0.101655998175E+24  0.182731307142E+08  0.327895425953E+00
  0.210911374853E-11  0.190231405762E-07  0.999999980977E+00  0.712498102817E+03  0.145344813962E+05  0.540151758906E-02  0.203993266466E+05  0.101655998189E+24  0.182731307142E+08  0.327895425950E+00
  0.214020488601E-11  0.193035667876E-07  0.999999980696E+00  0.712498102823E+03  0.145344813943E+05  0.540151758902E-02  0.203993266466E+05  0.101655998202E+24  0.182731307142E+08  0.327895425947E+00
  0.217160693487E-11  0.195867972613E-07  0.999999980413E+00  0.712498102829E+03  0.145344813923E+05  0.540151758897E-02  0.203993266465E+05  0.101655998215E+24  0.182731307142E+08  0.327895425944E+00
  0.220332300422E-11  0.198728600398E-07  0.999999980127E+00  0.712498102836E+03  0.145344813903E+05  0.540151758892E-02  0.203993266465E+05  0.101655998229E+24  0.182731307142E+08  0.327895425941E+00
  0.223535623426E-11  0.201617834462E-07  0.999999979838E+00  0.712498102842E+03  0.145344813884E+05  0.540151758888E-02  0.203993266465E+05  0.101655998243E+24  0.182731307142E+08  0.327895425938E+00
  0.226770979661E-11  0.204535960869E-07  0.999999979546E+00  0.712498102848E+03  0.145344813863E+05  0.540151758883E-02  0.203993266465E+05  0.101655998257E+24  0.182731307142E+08  0.327895425935E+00
  0.230038689457E-11  0.207483268541E-07  0.999999979252E+00  0.712498102855E+03  0.145344813843E+05  0.540151758878E-02  0.203993266464E+05  0.101655998271E+24  0.182731307142E+08  0.327895425931E+00
  0.233339076352E-11  0.210460049292E-07  0.999999978954E+00  0.712498102861E+03  0.145344813823E+05  0.540151758873E-02  0.203993266464E+05  0.101655998285E+24  0.182731307142E+08  0.327895425928E+00
  0.236672467115E-11  0.213466597851E-07  0.999999978653E+00  0.712498102868E+03  0.145344813802E+05  0.540151758868E-02  0.203993266464E+05  0.101655998299E+24  0.182731307142E+08  0.327895425925E+00
  0.240039191787E-11  0.216503211898E-07  0.999999978350E+00  0.712498102874E+03  0.145344813781E+05  0.540151758863E-02  0.203993266464E+05  0.101655998314E+24  0.182731307142E+08  0.327895425921E+00
  0.243439583704E-11  0.219570192086E-07  0.999999978043E+00  0.712498102881E+03  0.145344813760E+05  0.540151758858E-02  0.203993266463E+05  0.101655998329E+24  0.182731307142E+08  0.327895425918E+00
  0.246873979542E-11  0.222667842079E-07  0.999999977733E+00  0.712498102888E+03  0.145344813739E+05  0.540151758853E-02  0.203993266463E+05  0.101655998343E+24  0.182731307142E+08  0.327895425915E+00
