#--------------------------#
# x [m]  X_O  X_O2_1  X_O2_2  X_O2_3  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.132978997148E-11  0.500000007943E-01  0.949999992261E+00  0.646032543361E-08  0.484227657151E-09  0.894512412400E+03  0.138338617451E+05  0.349571892152E-01  0.128877117475E+06  0.674759643595E+24  0.134601083637E+08  0.368889036183E+00
  0.135308787120E-11  0.500000008082E-01  0.949999992126E+00  0.657351005976E-08  0.492711143048E-09  0.894512412318E+03  0.138338617440E+05  0.349571892185E-01  0.128877117478E+06  0.674759643662E+24  0.134601083637E+08  0.368889036163E+00
  0.137661874991E-11  0.500000008222E-01  0.949999991989E+00  0.668782653216E-08  0.501279463805E-09  0.894512412234E+03  0.138338617428E+05  0.349571892217E-01  0.128877117480E+06  0.674759643730E+24  0.134601083637E+08  0.368889036144E+00
  0.140038493741E-11  0.500000008364E-01  0.949999991850E+00  0.680328616928E-08  0.509933467772E-09  0.894512412150E+03  0.138338617417E+05  0.349571892250E-01  0.128877117483E+06  0.674759643798E+24  0.134601083637E+08  0.368889036125E+00
  0.142438878678E-11  0.500000008508E-01  0.949999991711E+00  0.691990040276E-08  0.518674011779E-09  0.894512412065E+03  0.138338617406E+05  0.349571892283E-01  0.128877117486E+06  0.674759643868E+24  0.134601083637E+08  0.368889036105E+00
  0.144863267465E-11  0.500000008652E-01  0.949999991570E+00  0.703768077857E-08  0.527501961229E-09  0.894512411979E+03  0.138338617394E+05  0.349571892317E-01  0.128877117488E+06  0.674759643938E+24  0.134601083637E+08  0.368889036085E+00
  0.147311900139E-11  0.500000008799E-01  0.949999991427E+00  0.715663895812E-08  0.536418190174E-09  0.894512411892E+03  0.138338617383E+05  0.349571892351E-01  0.128877117491E+06  0.674759644008E+24  0.134601083637E+08  0.368889036065E+00
  0.149785019141E-11  0.500000008946E-01  0.949999991283E+00  0.727678671946E-08  0.545423581410E-09  0.894512411804E+03  0.138338617371E+05  0.349571892385E-01  0.128877117494E+06  0.674759644079E+24  0.134601083637E+08  0.368889036045E+00
  0.152282869332E-11  0.500000009096E-01  0.949999991138E+00  0.739813595841E-08  0.554519026560E-09  0.894512411715E+03  0.138338617359E+05  0.349571892420E-01  0.128877117496E+06  0.674759644151E+24  0.134601083637E+08  0.368889036024E+00
  0.154805698026E-11  0.500000009246E-01  0.949999990991E+00  0.752069868974E-08  0.563705426163E-09  0.894512411626E+03  0.138338617348E+05  0.349571892455E-01  0.128877117499E+06  0.674759644224E+24  0.134601083637E+08  0.368889036003E+00
  0.157353755006E-11  0.500000009398E-01  0.949999990843E+00  0.764448704837E-08  0.572983689764E-09  0.894512411536E+03  0.138338617336E+05  0.349571892490E-01  0.128877117502E+06  0.674759644298E+24  0.134601083637E+08  0.368889035982E+00
  0.159927292556E-11  0.500000009552E-01  0.949999990693E+00  0.776951329057E-08  0.582354736002E-09  0.894512411444E+03  0.138338617323E+05  0.349571892526E-01  0.128877117505E+06  0.674759644372E+24  0.134601083637E+08  0.368889035961E+00
  0.162526565481E-11  0.500000009707E-01  0.949999990542E+00  0.789578979519E-08  0.591819492705E-09  0.894512411352E+03  0.138338617311E+05  0.349571892562E-01  0.128877117508E+06  0.674759644447E+24  0.134601083637E+08  0.368889035940E+00
  0.165151831136E-11  0.500000009864E-01  0.949999990389E+00  0.802332906484E-08  0.601378896976E-09  0.894512411259E+03  0.138338617299E+05  0.349571892598E-01  0.128877117511E+06  0.674759644522E+24  0.134601083637E+08  0.368889035918E+00
  0.167803349448E-11  0.500000010023E-01  0.949999990235E+00  0.815214372718E-08  0.611033895292E-09  0.894512411165E+03  0.138338617286E+05  0.349571892635E-01  0.128877117514E+06  0.674759644599E+24  0.134601083637E+08  0.368889035896E+00
  0.170481382942E-11  0.500000010182E-01  0.949999990079E+00  0.828224653614E-08  0.620785443593E-09  0.894512411070E+03  0.138338617274E+05  0.349571892672E-01  0.128877117517E+06  0.674759644676E+24  0.134601083637E+08  0.368889035874E+00
  0.173186196772E-11  0.500000010344E-01  0.949999989921E+00  0.841365037317E-08  0.630634507379E-09  0.894512410974E+03  0.138338617261E+05  0.349571892710E-01  0.128877117520E+06  0.674759644754E+24  0.134601083637E+08  0.368889035852E+00
  0.175918058739E-11  0.500000010507E-01  0.949999989762E+00  0.854636824856E-08  0.640582061804E-09  0.894512410877E+03  0.138338617248E+05  0.349571892748E-01  0.128877117523E+06  0.674759644833E+24  0.134601083637E+08  0.368889035830E+00
  0.178677239327E-11  0.500000010672E-01  0.949999989602E+00  0.868041330269E-08  0.650629091775E-09  0.894512410779E+03  0.138338617235E+05  0.349571892786E-01  0.128877117526E+06  0.674759644912E+24  0.134601083637E+08  0.368889035807E+00
  0.181464011720E-11  0.500000010838E-01  0.949999989440E+00  0.881579880735E-08  0.660776592049E-09  0.894512410680E+03  0.138338617222E+05  0.349571892825E-01  0.128877117529E+06  0.674759644993E+24  0.134601083637E+08  0.368889035784E+00
  0.184278651837E-11  0.500000011007E-01  0.949999989276E+00  0.895253816705E-08  0.671025567327E-09  0.894512410580E+03  0.138338617208E+05  0.349571892864E-01  0.128877117532E+06  0.674759645074E+24  0.134601083637E+08  0.368889035761E+00
  0.187121438356E-11  0.500000011176E-01  0.949999989110E+00  0.909064492033E-08  0.681377032359E-09  0.894512410479E+03  0.138338617195E+05  0.349571892903E-01  0.128877117535E+06  0.674759645156E+24  0.134601083637E+08  0.368889035738E+00
  0.189992652739E-11  0.500000011348E-01  0.949999988943E+00  0.923013274113E-08  0.691832012044E-09  0.894512410377E+03  0.138338617181E+05  0.349571892943E-01  0.128877117538E+06  0.674759645239E+24  0.134601083637E+08  0.368889035714E+00
  0.192892579266E-11  0.500000011521E-01  0.949999988774E+00  0.937101544012E-08  0.702391541528E-09  0.894512410275E+03  0.138338617168E+05  0.349571892983E-01  0.128877117541E+06  0.674759645322E+24  0.134601083637E+08  0.368889035690E+00
  0.195821505059E-11  0.500000011696E-01  0.949999988604E+00  0.951330696610E-08  0.713056666309E-09  0.894512410171E+03  0.138338617154E+05  0.349571893024E-01  0.128877117545E+06  0.674759645407E+24  0.134601083637E+08  0.368889035666E+00
  0.198779720110E-11  0.500000011873E-01  0.949999988432E+00  0.965702140732E-08  0.723828442340E-09  0.894512410066E+03  0.138338617140E+05  0.349571893065E-01  0.128877117548E+06  0.674759645492E+24  0.134601083637E+08  0.368889035642E+00
  0.201767517311E-11  0.500000012051E-01  0.949999988258E+00  0.980217299294E-08  0.734707936134E-09  0.894512409960E+03  0.138338617126E+05  0.349571893106E-01  0.128877117551E+06  0.674759645578E+24  0.134601083637E+08  0.368889035617E+00
