t [s],Y_O2(1),Y_O2(2),Y_O2(3),Y_O,T [K],p [Pa],n [m^-3],E [J/kg]
0.053046485507632454,0.6692458614169842,0.0017894629543136339,1.6822031803164884e-06,0.32896299342388996,2736.965032922154,1773.1960559840932,4.692499391904489e+22,7220222.090208096
0.05314648550763246,0.6692314352920268,0.0017881142628878362,1.6797059884096835e-06,0.32897877073746473,2736.688905911312,1773.038210806407,4.692555100780298e+22,7220456.744721082
0.05324648550763246,0.6692170389638564,0.0017867691535597694,1.6772172433117346e-06,0.32899451466370844,2736.413360605766,1772.880693720386,4.692610691767173e+22,7220690.906465089
0.05334648550763246,0.669202672314989,0.0017854276100736943,1.6747369005557305e-06,0.3290102253364047,2736.138394680622,1772.7235034250468,4.692666165337497e+22,7220924.577404706
0.053446485507632466,0.6691883352286244,0.00178408961627742,1.6722649159811987e-06,0.32902590288855,2735.8640058246297,1772.5666386269968,4.692721521960873e+22,7221157.759492997
0.05354648550763247,0.6691740275886399,0.0017827551561233174,1.66980124576303e-06,0.3290415474523587,2735.590191740055,1772.4100980403596,4.692776762104144e+22,7221390.454671602
0.05364648550763247,0.6691597492795832,0.001781424213667158,1.6673458464030456e-06,0.3290571591592709,2735.316950142615,1772.2538803867455,4.6928318862314185e+22,7221622.664870831
0.053746485507632474,0.6691455001866691,0.00178009677306523,1.6648986746928507e-06,0.3290727381399586,2735.0442787614015,1772.0979843952114,4.692886894804091e+22,7221854.392009756
0.05384648550763248,0.6691312801957768,0.00177877281857339,1.6624596877095188e-06,0.32908828452432987,2734.7721753387445,1771.9424088021813,4.692941788280862e+22,7222085.6379962675
0.05394648550763248,0.6691170891934416,0.0017774523345483997,1.6600288428494212e-06,0.3291037984415346,2734.500637630074,1771.7871523513609,4.692996567117751e+22,7222316.404727162
0.05404648550763248,0.6691029270668499,0.0017761353054476688,1.6576060978345043e-06,0.3291192800199722,2734.229663403846,1771.632213793712,4.693051231768132e+22,7222546.694088273
0.054146485507632486,0.6690887937038342,0.0017748217158262563,1.655191410672825e-06,0.3291347293872967,2733.959250441492,1771.4775918874152,4.693105782682745e+22,7222776.50795452
0.05424648550763249,0.6690746889928707,0.0017735115503349956,1.6527847396382513e-06,0.3291501466704225,2733.689396537295,1771.3232853978097,4.693160220309714e+22,7223005.848189994
0.05434648550763249,0.6690606128230744,0.0017722047937218292,1.650386043303487e-06,0.3291655319955283,2733.4200994982407,1771.169293097298,4.6932145450945725e+22,7223234.71664802
0.054446485507632494,0.6690465650841908,0.0017709014308326203,1.6479952805645794e-06,0.32918088548806396,2733.1513571439314,1771.0156137653034,4.693268757480278e+22,7223463.115171274
0.0545464855076325,0.6690325456665911,0.0017696014466084089,1.6456124106047194e-06,0.3291962072727577,2732.8831673065497,1770.8622461882555,4.693322857907238e+22,7223691.045591872
0.0546464855076325,0.6690185544612721,0.0017683048260825204,1.643237392856487e-06,0.32921149747362033,2732.615527830763,1770.7091891595376,4.693376846813329e+22,7223918.509731419
0.0547464855076325,0.6690045913598507,0.0017670115543814814,1.6408701870276848e-06,0.32922675621394865,2732.3484365735653,1770.5564414793905,4.693430724633905e+22,7224145.509401074
0.054846485507632506,0.6689906562545553,0.0017657216167268667,1.6385107531427058e-06,0.32924198361633245,2732.0818914041724,1770.4040019548524,4.693484491801825e+22,7224372.046401655
